Sender Identifier: regionB
Poll interval: 100ms
"Start Time:java.util.GregorianCalendar[time=1304425788213,areFieldsSet=true,areAllFieldsSet=true,lenient=true,zone=sun.util.calendar.ZoneInfo[id=""UTC"",offset=0,dstSavings=0,useDaylight=false,transitions=0,lastRule=null],firstDayOfWeek=1,minimalDaysInFirstWeek=1,ERA=1,YEAR=2011,MONTH=4,WEEK_OF_YEAR=19,WEEK_OF_MONTH=1,DAY_OF_MONTH=3,DAY_OF_YEAR=123,DAY_OF_WEEK=3,DAY_OF_WEEK_IN_MONTH=1,AM_PM=1,HOUR=0,HOUR_OF_DAY=12,MINUTE=29,SECOND=48,MILLISECOND=213,ZONE_OFFSET=0,DST_OFFSET=0]"
Data format: Time in millis: File content on S3
1304425788320:1 1304425785788
1304425789228:1 1304425785788
1304425789356:1 1304425785788
1304425789476:1 1304425785788
1304425789608:1 1304425785788
1304425789788:1 1304425785788
1304425789916:1 1304425785788
1304425790040:1 1304425785788
1304425790156:1 1304425785788
1304425790400:1 1304425785788
1304425790532:1 1304425785788
1304425790704:1 1304425785788
1304425790848:
1304425790964:1 1304425785788
1304425791088:1 1304425785788
1304425791204:1 1304425785788
1304425791316:1 1304425785788
1304425791428:1 1304425785788
1304425791560:1 1304425785788
1304425791684:1 1304425785788
1304425791800:1 1304425785788
1304425791940:1 1304425785788
1304425792052:1 1304425785788
1304425792184:1 1304425785788
1304425792316:1 1304425785788
1304425792468:1 1304425785788
1304425792584:1 1304425785788
1304425792700:1 1304425785788
1304425792820:1 1304425785788
1304425792940:1 1304425785788
1304425793068:1 1304425785788
1304425793196:1 1304425785788
1304425793664:1 1304425785788
1304425793784:1 1304425785788
1304425793908:1 1304425785788
1304425794024:1 1304425785788
1304425794152:1 1304425785788
1304425794268:1 1304425785788
1304425794384:1 1304425785788
1304425794496:1 1304425785788
1304425794612:1 1304425785788
1304425794772:1 1304425785788
1304425794920:1 1304425785788
1304425795052:1 1304425785788
1304425795164:1 1304425785788
1304425795280:1 1304425785788
1304425795420:1 1304425785788
1304425795548:1 1304425785788
1304425796684:1 1304425785788
1304425796800:1 1304425785788
1304425796916:2 1304425796632
1304425797244:2 1304425796632
1304425797380:2 1304425796632
1304425797500:2 1304425796632
1304425797616:2 1304425796632
1304425797728:2 1304425796632
1304425797860:2 1304425796632
1304425797972:2 1304425796632
1304425798092:2 1304425796632
1304425798204:2 1304425796632
1304425798320:2 1304425796632
1304425798432:2 1304425796632
1304425798544:2 1304425796632
1304425798664:2 1304425796632
1304425798780:2 1304425796632
1304425798892:2 1304425796632
1304425799008:2 1304425796632
1304425799124:2 1304425796632
1304425799236:2 1304425796632
1304425799348:2 1304425796632
1304425799464:2 1304425796632
1304425799584:2 1304425796632
1304425799708:2 1304425796632
1304425799824:2 1304425796632
1304425799940:2 1304425796632
1304425800056:2 1304425796632
1304425800236:2 1304425796632
1304425800368:2 1304425796632
1304425800484:2 1304425796632
1304425800600:2 1304425796632
1304425800712:2 1304425796632
1304425800832:2 1304425796632
1304425800952:2 1304425796632
1304425801079:2 1304425796632
1304425801208:2 1304425796632
1304425801324:2 1304425796632
1304425801436:2 1304425796632
1304425801548:2 1304425796632
1304425801788:2 1304425796632
1304425801900:2 1304425796632
1304425802040:2 1304425796632
1304425802156:2 1304425796632
1304425802285:2 1304425796632
1304425802408:2 1304425796632
1304425802536:2 1304425796632
1304425802657:2 1304425796632
1304425802768:2 1304425796632
1304425802884:2 1304425796632
1304425803004:2 1304425796632
1304425803128:2 1304425796632
1304425803241:2 1304425796632
1304425803357:2 1304425796632
1304425803473:2 1304425796632
1304425803588:2 1304425796632
1304425803701:2 1304425796632
1304425803813:2 1304425796632
1304425803929:2 1304425796632
1304425804041:1 1304425796632
1304425804153:2 1304425796632
1304425804269:2 1304425796632
1304425804385:2 1304425796632
1304425804501:2 1304425796632
1304425804613:2 1304425796632
1304425804729:2 1304425796632
1304425804845:2 1304425796632
1304425805061:2 1304425796632
1304425805173:2 1304425796632
1304425805285:2 1304425796632
1304425805397:2 1304425796632
1304425805521:2 1304425796632
1304425805637:2 1304425796632
1304425805753:2 1304425796632
1304425805869:2 1304425796632
1304425805985:2 1304425796632
1304425806097:2 1304425796632
1304425806221:2 1304425796632
1304425806337:2 1304425796632
1304425806457:2 1304425796632
1304425806573:2 1304425796632
1304425806697:2 1304425796632
1304425806809:2 1304425796632
1304425806921:2 1304425796632
1304425807033:2 1304425796632
1304425807145:3 1304425807501
1304425808457:3 1304425807501
1304425808577:3 1304425807501
1304425808689:3 1304425807501
1304425808801:3 1304425807501
1304425808917:3 1304425807501
1304425809029:3 1304425807501
1304425809153:3 1304425807501
1304425809269:3 1304425807501
1304425809385:3 1304425807501
1304425809497:3 1304425807501
1304425809617:3 1304425807501
1304425809805:3 1304425807501
1304425809937:3 1304425807501
1304425810049:3 1304425807501
1304425810161:3 1304425807501
1304425810281:3 1304425807501
1304425810393:3 1304425807501
1304425810509:3 1304425807501
1304425810633:3 1304425807501
1304425810749:3 1304425807501
1304425810861:3 1304425807501
1304425810977:3 1304425807501
1304425811117:3 1304425807501
1304425811237:3 1304425807501
1304425811353:3 1304425807501
1304425811465:3 1304425807501
1304425811581:3 1304425807501
1304425811693:3 1304425807501
1304425811809:3 1304425807501
1304425811937:3 1304425807501
1304425812053:3 1304425807501
1304425812173:3 1304425807501
1304425812289:3 1304425807501
1304425812409:3 1304425807501
1304425812521:3 1304425807501
1304425812637:3 1304425807501
1304425812893:3 1304425807501
1304425813005:3 1304425807501
1304425813125:3 1304425807501
1304425813237:3 1304425807501
1304425813353:3 1304425807501
