"Write Duration";"192";"0";
"Write Duration";"2";"1";
"Write Duration";"1";"2";
"Write Duration";"3";"3";
"Write Duration";"1";"4";
"Write Duration";"2";"5";
"Write Duration";"2";"6";
"Write Duration";"1";"7";
"Write Duration";"5";"8";
"Write Duration";"0";"9";
"Write Duration";"1";"10";
"Write Duration";"1";"11";
"Write Duration";"2";"12";
"Write Duration";"1";"13";
"cmon1";"-4";"4";
"Write Duration";"1";"14";
"cmon1";"-7";"5";
"cmon1";"-9";"6";
"Write Duration";"1";"15";
"Write Duration";"2";"16";
"cmon1";"-1";"7";
"Write Duration";"2";"17";
"cmon1";"-7";"8";
"Write Duration";"3";"18";
"cmon1";"-3";"9";
"cmon1";"-11";"10";
"Write Duration";"6";"19";
"Write Duration";"1";"20";
"cmon1";"-1";"11";
"Write Duration";"1";"21";
"cmon1";"-5";"12";
"cmon1";"-8";"13";
"Write Duration";"2";"22";
"Write Duration";"6";"23";
"cmon1";"-5";"14";
"Write Duration";"2";"24";
"cmon1";"-12";"15";
"Write Duration";"1";"25";
"cmon1";"-3";"16";
"Write Duration";"1";"26";
"cmon1";"1";"17";
"Write Duration";"1";"27";
"cmon1";"-9";"18";
"Write Duration";"1";"28";
"cmon1";"-9";"19";
"cmon1";"-6";"20";
"Write Duration";"1";"29";
"Write Duration";"1";"30";
"cmon1";"-5";"21";
"cmon1";"0";"22";
"Write Duration";"1";"31";
"Write Duration";"2";"32";
"cmon1";"2";"23";
"cmon1";"-3";"24";
"Write Duration";"2";"33";
"Write Duration";"1";"34";
"cmon1";"-7";"25";
"cmon1";"-1";"26";
"Write Duration";"9";"35";
"Write Duration";"1";"36";
"cmon1";"-9";"27";
"Write Duration";"1";"37";
"cmon1";"-11";"28";
"Write Duration";"2";"38";
"cmon1";"-7";"29";
"Write Duration";"2";"39";
"cmon1";"-9";"30";
"Write Duration";"1";"40";
"cmon1";"-9";"31";
"Write Duration";"2";"41";
"cmon1";"-10";"32";
"Write Duration";"1";"42";
"cmon1";"-8";"33";
"Write Duration";"1";"43";
"cmon1";"-1";"34";
"Write Duration";"1";"44";
"cmon1";"-2";"35";
"Write Duration";"1";"45";
"cmon1";"-8";"36";
"Write Duration";"1";"46";
"cmon1";"-4";"37";
"cmon1";"-8";"38";
"Write Duration";"4";"47";
"Write Duration";"1";"48";
"cmon1";"-10";"39";
"Write Duration";"1";"49";
"cmon1";"-6";"40";
"Write Duration";"1";"50";
"cmon1";"-1";"41";
"Write Duration";"1";"51";
"cmon1";"-9";"42";
"Write Duration";"1";"52";
"cmon1";"-10";"43";
"Write Duration";"1";"53";
"cmon1";"-10";"44";
"Write Duration";"1";"54";
"cmon1";"-10";"45";
"Write Duration";"1";"55";
"cmon1";"-6";"46";
"Write Duration";"1";"56";
"cmon1";"-11";"47";
"Write Duration";"1";"57";
"cmon1";"-6";"48";
"Write Duration";"1";"58";
"cmon1";"-6";"49";
"Write Duration";"2";"59";
"cmon1";"-9";"50";
"Write Duration";"1";"60";
"cmon1";"-1";"51";
"Write Duration";"1";"61";
"cmon1";"-5";"52";
"Write Duration";"1";"62";
"cmon1";"-6";"53";
"Write Duration";"3";"63";
"cmon1";"-3";"54";
"Write Duration";"1";"64";
"cmon1";"-4";"55";
"Write Duration";"2";"65";
"cmon1";"-3";"56";
"Write Duration";"1";"66";
"cmon1";"-4";"57";
"Write Duration";"0";"67";
"cmon1";"-1";"58";
"Write Duration";"1";"68";
"cmon1";"-2";"59";
"cmon1";"-6";"60";
"Write Duration";"2";"69";
"cmon1";"-4";"61";
"Write Duration";"5";"70";
"Write Duration";"2";"71";
"cmon1";"-11";"62";
"Write Duration";"1";"72";
"cmon1";"0";"63";
"Write Duration";"3";"73";
"cmon1";"-6";"64";
"Write Duration";"1";"74";
"cmon1";"-8";"65";
"Write Duration";"2";"75";
"cmon1";"-3";"66";
"Write Duration";"2";"76";
"cmon1";"-6";"67";
"Write Duration";"2";"77";
"cmon1";"-7";"68";
"Write Duration";"1";"78";
"cmon1";"-10";"69";
