Sender Identifier: cmon1
Poll interval: 10ms
Start Time:java.util.GregorianCalendar[time=1314979241978,areFieldsSet=true,areAllFieldsSet=true,lenient=true,zone=sun.util.calendar.ZoneInfo[id="UTC",offset=0,dstSavings=0,useDaylight=false,transitions=0,lastRule=null],firstDayOfWeek=2,minimalDaysInFirstWeek=4,ERA=1,YEAR=2011,MONTH=8,WEEK_OF_YEAR=35,WEEK_OF_MONTH=1,DAY_OF_MONTH=2,DAY_OF_YEAR=245,DAY_OF_WEEK=6,DAY_OF_WEEK_IN_MONTH=1,AM_PM=1,HOUR=4,HOUR_OF_DAY=16,MINUTE=0,SECOND=41,MILLISECOND=978,ZONE_OFFSET=0,DST_OFFSET=0]
Data format: Time in millis: File content on monitored storage system
1314979242065:3 1314979239809
1314979242175:3 1314979239809
1314979242190:3 1314979239809
1314979242203:3 1314979239809
1314979242216:3 1314979239809
1314979242230:3 1314979239809
1314979242243:3 1314979239809
1314979242260:3 1314979239809
1314979242273:3 1314979239809
1314979242287:3 1314979239809
1314979242300:3 1314979239809
1314979242314:3 1314979239809
1314979242328:3 1314979239809
1314979242342:3 1314979239809
1314979242355:3 1314979239809
1314979242368:3 1314979239809
1314979242383:3 1314979239809
1314979242396:3 1314979239809
1314979242411:3 1314979239809
1314979242425:3 1314979239809
1314979242439:3 1314979239809
1314979242451:3 1314979239809
1314979242464:3 1314979239809
1314979242476:3 1314979239809
1314979242489:3 1314979239809
1314979242502:3 1314979239809
1314979242515:3 1314979239809
1314979242529:3 1314979239809
1314979242542:3 1314979239809
1314979242555:3 1314979239809
1314979242568:3 1314979239809
1314979242581:3 1314979239809
1314979242621:3 1314979239809
1314979242633:3 1314979239809
1314979242647:3 1314979239809
1314979242660:3 1314979239809
1314979242674:3 1314979239809
1314979242690:3 1314979239809
1314979242703:3 1314979239809
1314979242715:3 1314979239809
1314979242728:3 1314979239809
1314979242742:3 1314979239809
1314979242755:3 1314979239809
1314979242769:3 1314979239809
1314979242781:3 1314979239809
1314979242794:3 1314979239809
1314979242807:3 1314979239809
1314979242820:3 1314979239809
1314979242833:3 1314979239809
1314979242849:3 1314979239809
1314979242863:3 1314979239809
1314979242875:3 1314979239809
1314979242888:3 1314979239809
1314979242901:3 1314979239809
1314979242914:3 1314979239809
1314979242927:3 1314979239809
1314979242941:3 1314979239809
1314979242954:3 1314979239809
1314979242966:3 1314979239809
1314979242979:3 1314979239809
1314979242993:3 1314979239809
1314979243006:3 1314979239809
1314979243019:3 1314979239809
1314979243031:3 1314979239809
1314979243045:3 1314979239809
1314979243059:3 1314979239809
1314979243073:3 1314979239809
1314979243086:3 1314979239809
1314979243100:3 1314979239809
1314979243114:3 1314979239809
1314979243131:3 1314979239809
1314979243144:3 1314979239809
1314979243157:3 1314979239809
1314979243171:3 1314979239809
1314979243184:3 1314979239809
1314979243197:3 1314979239809
1314979243210:3 1314979239809
1314979243223:3 1314979239809
1314979243238:3 1314979239809
1314979243251:3 1314979239809
1314979243264:3 1314979239809
1314979243277:3 1314979239809
1314979243290:3 1314979239809
1314979243303:3 1314979239809
1314979243316:3 1314979239809
1314979243329:3 1314979239809
1314979243343:3 1314979239809
1314979243356:3 1314979239809
1314979243369:3 1314979239809
1314979243382:3 1314979239809
1314979243395:3 1314979239809
1314979243408:3 1314979239809
1314979243421:3 1314979239809
1314979243434:3 1314979239809
1314979243447:3 1314979239809
1314979243461:3 1314979239809
1314979243474:3 1314979239809
1314979243487:3 1314979239809
1314979243500:3 1314979239809
1314979243513:3 1314979239809
1314979243526:3 1314979239809
1314979243541:3 1314979239809
1314979243554:3 1314979239809
1314979243567:3 1314979239809
1314979243580:3 1314979239809
1314979243593:3 1314979239809
1314979243607:3 1314979239809
1314979243620:3 1314979239809
1314979243633:3 1314979239809
1314979243646:3 1314979239809
1314979243660:3 1314979239809
1314979243673:3 1314979239809
1314979243686:3 1314979239809
1314979243700:3 1314979239809
1314979243713:3 1314979239809
1314979243726:3 1314979239809
1314979243738:3 1314979239809
1314979243752:3 1314979239809
1314979243765:3 1314979239809
1314979243777:3 1314979239809
1314979243791:3 1314979239809
1314979243803:3 1314979239809
1314979243818:3 1314979239809
1314979243830:3 1314979239809
1314979243842:3 1314979239809
1314979243855:3 1314979239809
1314979243868:3 1314979239809
1314979243880:3 1314979239809
1314979243893:3 1314979239809
1314979243906:3 1314979239809
1314979243919:3 1314979239809
1314979243932:3 1314979239809
1314979243945:3 1314979239809
1314979243958:3 1314979239809
1314979243972:3 1314979239809
1314979243985:3 1314979239809
1314979243998:3 1314979239809
1314979244011:3 1314979239809
1314979244026:3 1314979239809
1314979244039:3 1314979239809
1314979244051:3 1314979239809
1314979244063:3 1314979239809
1314979244076:3 1314979239809
1314979244090:3 1314979239809
1314979244104:3 1314979239809
1314979244117:3 1314979239809
1314979244130:3 1314979239809
1314979244143:3 1314979239809
1314979244156:3 1314979239809
1314979244168:3 1314979239809
1314979244181:3 1314979239809
1314979244194:3 1314979239809
1314979244211:3 1314979239809
1314979244225:3 1314979239809
1314979244238:3 1314979239809
1314979244251:3 1314979239809
1314979244264:3 1314979239809
1314979244277:3 1314979239809
1314979244291:3 1314979239809
1314979244303:3 1314979239809
1314979244316:3 1314979239809
1314979244329:3 1314979239809
1314979244343:3 1314979239809
1314979244356:3 1314979239809
1314979244368:3 1314979239809
1314979244381:3 1314979239809
1314979244394:3 1314979239809
1314979244407:3 1314979239809
1314979244420:3 1314979239809
1314979244433:3 1314979239809
1314979244445:3 1314979239809
1314979244459:3 1314979239809
1314979244472:3 1314979239809
1314979244485:3 1314979239809
1314979244498:3 1314979239809
1314979244511:3 1314979239809
1314979244524:3 1314979239809
1314979244537:3 1314979239809
1314979244550:3 1314979239809
1314979244563:3 1314979239809
1314979244576:3 1314979239809
1314979244589:3 1314979239809
1314979244602:3 1314979239809
1314979244616:3 1314979239809
1314979244630:3 1314979239809
1314979244643:3 1314979239809
1314979244661:3 1314979239809
1314979244674:3 1314979239809
1314979244689:3 1314979239809
1314979244702:3 1314979239809
1314979244714:3 1314979239809
1314979244727:3 1314979239809
1314979244741:3 1314979239809
1314979244754:3 1314979239809
1314979244768:3 1314979239809
1314979244781:3 1314979239809
1314979244795:3 1314979239809
1314979244807:3 1314979239809
1314979244820:3 1314979239809
1314979244832:3 1314979239809
1314979244845:3 1314979239809
1314979244860:3 1314979239809
1314979244873:3 1314979239809
1314979244886:3 1314979239809
1314979244899:3 1314979239809
1314979244911:3 1314979239809
1314979244924:3 1314979239809
1314979244936:3 1314979239809
1314979244949:3 1314979239809
1314979244963:3 1314979239809
1314979244976:3 1314979239809
1314979244989:3 1314979239809
1314979245002:3 1314979239809
1314979245015:3 1314979239809
1314979245028:3 1314979239809
1314979245040:3 1314979239809
1314979245053:3 1314979239809
1314979245066:3 1314979239809
1314979245079:3 1314979239809
1314979245092:3 1314979239809
1314979245104:3 1314979239809
1314979245117:3 1314979239809
1314979245130:3 1314979239809
1314979245143:3 1314979239809
1314979245156:3 1314979239809
1314979245170:3 1314979239809
1314979245182:3 1314979239809
1314979245195:3 1314979239809
1314979245209:3 1314979239809
1314979245221:3 1314979239809
1314979245234:3 1314979239809
1314979245248:3 1314979239809
1314979245261:3 1314979239809
1314979245274:3 1314979239809
1314979245290:3 1314979239809
1314979245302:3 1314979239809
1314979245314:3 1314979239809
1314979245327:3 1314979239809
1314979245340:3 1314979239809
1314979245352:3 1314979239809
1314979245366:3 1314979239809
1314979245379:3 1314979239809
1314979245393:3 1314979239809
1314979245405:3 1314979239809
1314979245419:3 1314979239809
1314979245432:3 1314979239809
1314979245445:3 1314979239809
1314979245460:3 1314979239809
1314979245474:3 1314979239809
1314979245486:3 1314979239809
1314979245499:3 1314979239809
1314979245512:3 1314979239809
1314979245524:3 1314979239809
1314979245537:3 1314979239809
1314979245551:3 1314979239809
1314979245564:3 1314979239809
1314979245576:3 1314979239809
1314979245589:3 1314979239809
1314979245602:3 1314979239809
1314979245615:3 1314979239809
1314979245628:3 1314979239809
1314979245641:3 1314979239809
1314979245654:3 1314979239809
1314979245666:3 1314979239809
1314979245679:3 1314979239809
1314979245692:3 1314979239809
1314979245705:3 1314979239809
1314979245718:3 1314979239809
1314979245731:3 1314979239809
1314979245743:3 1314979239809
1314979245755:3 1314979239809
1314979245768:3 1314979239809
1314979245781:3 1314979239809
1314979245794:3 1314979239809
1314979245806:3 1314979239809
1314979245820:3 1314979239809
1314979245832:3 1314979239809
1314979245845:3 1314979239809
1314979245861:3 1314979239809
1314979245874:3 1314979239809
1314979245888:3 1314979239809
1314979245901:3 1314979239809
1314979245914:3 1314979239809
1314979245927:3 1314979239809
1314979245940:3 1314979239809
1314979245953:3 1314979239809
1314979245966:3 1314979239809
1314979245978:3 1314979239809
1314979245991:3 1314979239809
1314979246004:3 1314979239809
1314979246017:3 1314979239809
1314979246030:3 1314979239809
1314979246043:3 1314979239809
1314979246055:3 1314979239809
1314979246068:3 1314979239809
1314979246081:3 1314979239809
1314979246093:3 1314979239809
1314979246106:3 1314979239809
1314979246118:3 1314979239809
1314979246131:3 1314979239809
1314979246144:3 1314979239809
1314979246159:3 1314979239809
1314979246173:3 1314979239809
1314979246185:3 1314979239809
1314979246198:3 1314979239809
1314979246211:3 1314979239809
1314979246224:3 1314979239809
1314979246249:3 1314979239809
1314979246265:3 1314979239809
1314979246278:3 1314979239809
1314979246291:3 1314979239809
1314979246304:3 1314979239809
1314979246317:3 1314979239809
1314979246331:3 1314979239809
1314979246344:3 1314979239809
1314979246356:3 1314979239809
1314979246369:3 1314979239809
1314979246381:3 1314979239809
1314979246394:3 1314979239809
1314979246407:3 1314979239809
1314979246420:3 1314979239809
1314979246433:3 1314979239809
1314979246448:3 1314979239809
1314979246460:3 1314979239809
1314979246473:3 1314979239809
1314979246487:3 1314979239809
1314979246500:3 1314979239809
1314979246512:3 1314979239809
1314979246525:3 1314979239809
1314979246537:3 1314979239809
1314979246550:3 1314979239809
1314979246563:3 1314979239809
1314979246577:3 1314979239809
1314979246589:3 1314979239809
1314979246602:3 1314979239809
1314979246615:3 1314979239809
1314979246628:3 1314979239809
1314979246640:3 1314979239809
1314979246653:3 1314979239809
1314979246666:3 1314979239809
1314979246678:3 1314979239809
1314979246691:3 1314979239809
1314979246703:3 1314979239809
1314979246717:3 1314979239809
1314979246730:3 1314979239809
1314979246743:3 1314979239809
1314979246756:3 1314979239809
1314979246769:3 1314979239809
1314979246782:3 1314979239809
1314979246794:3 1314979239809
1314979246807:3 1314979239809
1314979246820:3 1314979239809
1314979246833:3 1314979239809
1314979246850:3 1314979239809
1314979246863:3 1314979239809
1314979246879:3 1314979239809
1314979246892:3 1314979239809
1314979246904:3 1314979239809
1314979246917:3 1314979239809
1314979246930:3 1314979239809
1314979246943:3 1314979239809
1314979246956:3 1314979239809
1314979246968:3 1314979239809
1314979246981:3 1314979239809
1314979246994:3 1314979239809
1314979247006:3 1314979239809
1314979247019:3 1314979239809
1314979247032:3 1314979239809
1314979247045:3 1314979239809
1314979247059:3 1314979239809
1314979247073:3 1314979239809
1314979247085:3 1314979239809
1314979247098:3 1314979239809
1314979247111:3 1314979239809
1314979247124:3 1314979239809
1314979247137:3 1314979239809
1314979247150:3 1314979239809
1314979247162:3 1314979239809
1314979247175:3 1314979239809
1314979247188:3 1314979239809
1314979247200:3 1314979239809
1314979247213:3 1314979239809
1314979247226:3 1314979239809
1314979247240:3 1314979239809
1314979247253:3 1314979239809
1314979247266:3 1314979239809
1314979247279:3 1314979239809
1314979247292:3 1314979239809
1314979247305:3 1314979239809
1314979247318:3 1314979239809
1314979247332:3 1314979239809
1314979247346:3 1314979239809
1314979247360:3 1314979239809
1314979247373:3 1314979239809
1314979247386:3 1314979239809
1314979247398:3 1314979239809
1314979247411:3 1314979239809
1314979247426:3 1314979239809
1314979247438:3 1314979239809
1314979247451:3 1314979239809
1314979247464:3 1314979239809
1314979247480:3 1314979239809
1314979247492:3 1314979239809
1314979247505:3 1314979239809
1314979247519:3 1314979239809
1314979247538:3 1314979239809
1314979247554:3 1314979239809
1314979247569:3 1314979239809
1314979247581:3 1314979239809
1314979247594:3 1314979239809
1314979247606:3 1314979239809
1314979247620:3 1314979239809
1314979247634:3 1314979239809
1314979247647:3 1314979239809
1314979247661:3 1314979239809
1314979247674:3 1314979239809
1314979247708:3 1314979239809
1314979247727:3 1314979239809
1314979247742:3 1314979239809
1314979247755:3 1314979239809
1314979247768:3 1314979239809
1314979247781:3 1314979239809
1314979247794:3 1314979239809
1314979247808:3 1314979239809
1314979247821:3 1314979239809
1314979247833:3 1314979239809
1314979247847:3 1314979239809
1314979247860:3 1314979239809
1314979247874:3 1314979239809
1314979247886:3 1314979239809
1314979247899:3 1314979239809
1314979247911:3 1314979239809
1314979247924:3 1314979239809
1314979247937:3 1314979239809
1314979247949:3 1314979239809
1314979247962:3 1314979239809
1314979247975:3 1314979239809
1314979247988:3 1314979239809
1314979248001:3 1314979239809
1314979248013:3 1314979239809
1314979248027:3 1314979239809
1314979248040:3 1314979239809
1314979248054:3 1314979239809
1314979248067:3 1314979239809
1314979248079:3 1314979239809
1314979248092:3 1314979239809
1314979248105:3 1314979239809
1314979248117:3 1314979239809
1314979248131:3 1314979239809
1314979248144:3 1314979239809
1314979248157:3 1314979239809
1314979248170:3 1314979239809
1314979248183:3 1314979239809
1314979248196:3 1314979239809
1314979248208:3 1314979239809
1314979248221:3 1314979239809
1314979248234:3 1314979239809
1314979248247:3 1314979239809
1314979248261:3 1314979239809
1314979248273:3 1314979239809
1314979248286:3 1314979239809
1314979248299:3 1314979239809
1314979248313:3 1314979239809
1314979248326:3 1314979239809
1314979248340:3 1314979239809
1314979248354:3 1314979239809
1314979248365:3 1314979239809
1314979248378:3 1314979239809
1314979248392:3 1314979239809
1314979248404:3 1314979239809
1314979248417:3 1314979239809
1314979248430:3 1314979239809
1314979248443:3 1314979239809
1314979248455:3 1314979239809
1314979248469:3 1314979239809
1314979248482:3 1314979239809
1314979248494:3 1314979239809
1314979248507:3 1314979239809
1314979248520:3 1314979239809
1314979248532:3 1314979239809
1314979248545:3 1314979239809
1314979248559:3 1314979239809
1314979248573:3 1314979239809
